hotel,is_canceled,lead_time,,,arrival_date_week_number,,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,,reserved_room_type,customer_type,adr,total_of_special_requests
Resort Hotel,1,175,,,24,,0,3,2,0,0,BB,,E,Transient,140,1
Resort Hotel,1,77,,,24,,2,5,2,2,0,Undefined,,G,Transient,311,2
Resort Hotel,1,57,,,25,,0,3,2,2,0,HB,,G,Transient,288,0
Resort Hotel,1,244,,,25,,1,3,2,0,0,HB,,A,Transient,127.8,2
Resort Hotel,1,244,,,25,,1,3,2,0,0,HB,,A,Transient,127.8,2
Resort Hotel,1,103,,,26,,2,1,2,0,0,BB,,G,Transient,209,1
Resort Hotel,1,116,,,26,,1,3,2,0,0,BB,,A,Transient,120,0
Resort Hotel,1,59,,,26,,2,1,2,2,0,BB,,G,Transient,250,0
Resort Hotel,1,171,,,27,,2,1,2,2,0,BB,,G,Transient,180,0
Resort Hotel,1,133,,,27,,1,1,2,0,0,BB,,A,Transient,140,1
Resort Hotel,1,135,,,28,,1,2,2,2,0,BB,,C,Transient,198.33,2
Resort Hotel,1,4,,,30,,0,2,2,0,0,BB,,A,Transient,192.5,2
Resort Hotel,1,119,,,31,,2,2,2,2,0,BB,,C,Transient,269,2
Resort Hotel,1,153,,,32,,0,1,2,0,0,BB,,D,Transient,220,1
Resort Hotel,1,161,,,32,,1,2,2,2,0,BB,,G,Transient,300,1
Resort Hotel,1,188,,,33,,1,2,2,0,0,BB,,E,Transient,204.67,1
Resort Hotel,1,76,,,33,,2,3,2,0,0,BB,,E,Transient,265,1
Resort Hotel,1,160,,,33,,2,3,2,0,0,BB,,E,Transient,238,0
Resort Hotel,1,160,,,33,,2,3,2,0,0,BB,,E,Transient,238,0
Resort Hotel,1,17,,,34,,1,1,2,0,0,BB,,D,Transient,240,2
Resort Hotel,1,51,,,35,,2,0,2,2,0,BB,,G,Transient,290,1
Resort Hotel,1,51,,,35,,2,0,2,2,0,BB,,G,Transient,290,1
Resort Hotel,1,74,,,35,,0,3,2,2,0,BB,,C,Transient,233.33,1
Resort Hotel,0,0,,,28,,1,0,2,2,0,BB,,G,Group,153,0
Resort Hotel,0,41,,,29,,1,3,1,0,0,BB,,D,Transient,135,0
Resort Hotel,0,39,,,30,,1,2,2,0,0,BB,,D,Transient,103.95,1
Resort Hotel,0,13,,,31,,0,1,2,1,0,BB,,A,Transient,168,2
Resort Hotel,0,69,,,33,,1,0,2,0,0,BB,,A,Transient,134,0
Resort Hotel,0,74,,,33,,1,0,2,0,0,BB,,A,Transient,134,0
Resort Hotel,0,71,,,33,,2,6,2,0,0,HB,,D,Transient,198,0
Resort Hotel,0,49,,,36,,2,5,2,0,0,HB,,D,Transient,218.6,0
Resort Hotel,0,41,,,34,,0,2,3,0,0,BB,,A,Transient,219.3,2
Resort Hotel,0,70,,,34,,3,5,2,0,0,BB,,E,Transient,119.97,1
Resort Hotel,0,75,,,34,,2,1,2,0,0,BB,,D,Transient,118.13,0
Resort Hotel,0,0,,,35,,0,1,1,0,0,BB,,A,Transient,153,0
Resort Hotel,0,37,,,35,,2,3,2,0,0,BB,,A,Transient,132.44,2
Resort Hotel,0,49,,,35,,0,3,2,0,1,HB,,E,Transient,177.47,2
Resort Hotel,0,193,,,35,,2,3,2,0,0,BB,,A,Transient,103.95,1
Resort Hotel,0,32,,,35,,2,4,1,1,0,BB,,E,Transient,154.71,1
Resort Hotel,0,0,,,35,,0,1,2,0,0,BB,,A,Transient,153,1
Resort Hotel,0,13,,,36,,2,1,2,0,0,BB,,F,Transient,120.79,0
Resort Hotel,0,37,,,36,,0,2,3,0,0,BB,,G,Transient,117.81,1
Resort Hotel,0,89,,,37,,0,2,2,0,0,BB,,D,Transient,97,1
Resort Hotel,0,0,,,38,,0,1,1,0,0,BB,,A,Group,65,0
Resort Hotel,0,172,,,38,,2,5,2,0,0,HB,,A,Contract,72.25,1
Resort Hotel,0,179,,,39,,3,6,2,0,0,BB,,A,Contract,60.15,0
Resort Hotel,0,37,,,39,,1,3,2,2,0,BB,,G,Transient,135,0
Resort Hotel,0,81,,,39,,0,4,2,0,0,BB,,A,Transient,97,1
Resort Hotel,0,38,,,40,,4,7,2,2,0,BB,,G,Transient,115,1
Resort Hotel,0,1,,,42,,0,1,2,0,0,BB,,D,Transient,66,1
Resort Hotel,0,130,,,42,,0,2,2,0,0,BB,,F,Transient,92.4,0
Resort Hotel,0,0,,,43,,0,2,1,0,0,BB,,G,Transient,106,0
Resort Hotel,0,109,,,46,,0,1,2,0,0,BB,,F,Transient,74.8,2
Resort Hotel,0,36,,,45,,2,6,1,0,0,BB,,A,Transient-Party,36,0
Resort Hotel,0,12,,,45,,3,10,2,0,0,BB,,A,Transient-Party,48,0
Resort Hotel,0,5,,,48,,2,0,1,0,0,BB,,A,Transient,40,1
Resort Hotel,0,0,,,53,,1,0,2,0,0,BB,,E,Transient,71,0
Resort Hotel,0,58,,,52,,2,4,2,0,0,BB,,E,Transient,58,1
Resort Hotel,0,0,,,53,,1,0,2,0,0,BB,,A,Transient,75,0
Resort Hotel,0,29,,,52,,2,5,2,0,0,BB,,D,Transient,71,1
Resort Hotel,0,2,,,53,,0,3,2,0,0,BB,,A,Transient,72.93,0
Resort Hotel,0,17,,,1,,2,1,2,0,0,BB,,E,Transient,57.2,1
Resort Hotel,0,0,,,2,,0,1,2,0,0,BB,,A,Transient,31.2,0
Resort Hotel,0,0,,,2,,2,5,2,0,0,BB,,A,Transient,48,0
Resort Hotel,0,11,,,2,,1,2,2,0,0,BB,,E,Transient,69.2,1
Resort Hotel,0,3,,,2,,1,2,2,0,0,BB,,E,Transient,52.8,0
Resort Hotel,0,0,,,2,,2,4,2,0,0,BB,,A,Transient,38,0
Resort Hotel,0,1,,,4,,0,2,2,0,0,BB,,A,Transient,45,0
Resort Hotel,0,0,,,6,,1,4,2,0,0,BB,,A,Transient,39,2
Resort Hotel,0,0,,,7,,0,1,2,0,0,BB,,A,Transient,58,0
Resort Hotel,0,0,,,8,,0,1,2,0,0,BB,,D,Transient,46,0
Resort Hotel,0,24,,,9,,1,1,2,0,0,BB,,A,Transient,36.96,2
Resort Hotel,0,24,,,9,,1,1,2,0,0,BB,,A,Transient,36.96,2
Resort Hotel,0,4,,,13,,2,1,2,0,0,BB,,D,Transient,43,0
Resort Hotel,0,6,,,14,,1,3,2,0,0,HB,,E,Transient,97.5,0
Resort Hotel,0,2,,,15,,1,1,2,0,0,BB,,E,Transient,87,1
Resort Hotel,0,1,,,15,,0,2,2,0,0,BB,,E,Transient,85,1
Resort Hotel,0,19,,,15,,1,3,2,0,0,BB,,F,Transient,101,0
Resort Hotel,0,26,,,15,,2,2,3,1,0,BB,,H,Transient,146.38,1
Resort Hotel,0,27,,,16,,2,2,3,1,0,BB,,G,Transient,136,0
Resort Hotel,0,8,,,16,,0,1,1,0,0,BB,,G,Transient,96.25,0
Resort Hotel,0,79,,,17,,1,2,2,0,0,BB,,G,Transient,117,0
Resort Hotel,0,79,,,17,,1,2,2,0,0,BB,,F,Transient,102,0
Resort Hotel,0,9,,,18,,1,1,2,0,0,BB,,A,Transient,50.05,1
Resort Hotel,0,113,,,18,,0,2,1,0,0,BB,,G,Transient,78.31,1
Resort Hotel,0,113,,,18,,0,2,2,0,0,BB,,G,Transient,78.31,1
Resort Hotel,0,179,,,18,,0,2,2,0,0,BB,,A,Transient,52.2,1
Resort Hotel,0,179,,,18,,0,2,2,0,0,BB,,A,Transient,58.2,1
Resort Hotel,0,1,,,18,,0,3,1,0,0,BB,,E,Transient,91,1
Resort Hotel,0,33,,,18,,1,4,1,0,0,BB,,A,Transient,37.1,0
Resort Hotel,0,0,,,18,,0,1,2,0,0,BB,,E,Transient,85,0
Resort Hotel,0,0,,,19,,1,0,2,0,0,BB,,F,Transient,115,1
Resort Hotel,0,13,,,19,,2,0,2,0,0,BB,,D,Transient,72,0
Resort Hotel,0,67,,,19,,2,4,2,0,0,BB,,D,Transient,75.83,1
Resort Hotel,0,77,,,20,,0,5,2,0,0,HB,,F,Transient,34,1
Resort Hotel,0,68,,,21,,1,2,2,0,0,BB,,A,Transient,56,0
Resort Hotel,0,129,,,22,,2,1,2,0,0,BB,,D,Transient,65.7,2
Resort Hotel,0,40,,,22,,1,1,2,0,0,BB,,E,Transient,111,2
Resort Hotel,0,129,,,22,,2,1,2,0,0,BB,,D,Transient,71.7,2
Resort Hotel,0,49,,,22,,0,1,2,0,0,BB,,F,Transient-Party,105,1
Resort Hotel,0,49,,,22,,0,1,2,0,0,BB,,F,Transient-Party,105,1
Resort Hotel,0,39,,,22,,1,1,2,0,0,BB,,F,Transient,121,1
Resort Hotel,0,5,,,22,,1,1,2,2,0,BB,,G,Transient,145,0
Resort Hotel,0,136,,,23,,2,0,2,0,0,BB,,D,Transient,68,0
Resort Hotel,0,59,,,23,,2,0,3,0,0,BB,,G,Transient,145,0
Resort Hotel,0,65,,,23,,1,1,2,0,0,BB,,E,Transient,95,0
Resort Hotel,0,1,,,23,,0,2,1,0,0,BB,,F,Transient,161,0
Resort Hotel,0,2,,,23,,0,1,2,0,0,BB,,D,Group,124,0
Resort Hotel,0,34,,,23,,0,3,2,0,0,BB,,F,Transient,168.33,0
Resort Hotel,0,34,,,23,,0,3,2,0,0,BB,,F,Transient,157,0
Resort Hotel,0,129,,,24,,2,1,2,0,0,BB,,A,Transient,61.6,2
Resort Hotel,0,124,,,24,,1,1,3,0,0,BB,,C,Transient,135,2
Resort Hotel,0,124,,,24,,1,1,3,0,0,BB,,C,Transient,135,2
Resort Hotel,0,0,,,23,,2,3,2,0,0,BB,,F,Transient,120,0
Resort Hotel,0,0,,,25,,1,0,1,0,0,BB,,A,Transient,109,0
Resort Hotel,0,0,,,25,,1,0,2,0,0,BB,,F,Transient,159,0
Resort Hotel,0,74,,,25,,1,1,2,0,0,BB,,G,Transient,149.52,1
Resort Hotel,0,56,,,25,,1,1,3,0,0,BB,,A,Transient,164,1
Resort Hotel,0,56,,,25,,1,1,2,0,0,BB,,A,Transient,129,1
Resort Hotel,0,160,,,25,,2,5,2,0,0,HB,,D,Transient,118.5,2
Resort Hotel,0,5,,,26,,1,2,2,0,0,BB,,F,Transient,184.33,2
Resort Hotel,0,161,,,25,,2,4,2,0,0,BB,,E,Transient,116.5,3
Resort Hotel,0,57,,,25,,2,2,2,1,0,BB,,A,Transient,121,1
Resort Hotel,0,57,,,25,,2,2,2,0,0,BB,,A,Transient,98.75,1
Resort Hotel,0,48,,,26,,1,1,2,2,0,BB,,G,Transient-Party,189,0
Resort Hotel,0,48,,,26,,1,1,2,2,0,BB,,G,Transient-Party,201,0
Resort Hotel,0,0,,,26,,0,1,2,0,0,BB,,E,Transient,139,0
Resort Hotel,0,8,,,26,,0,2,2,3,0,BB,,H,Transient,186,0
Resort Hotel,0,3,,,26,,0,1,2,0,0,BB,,A,Transient,98.4,0
Resort Hotel,0,25,,,26,,1,1,2,0,0,BB,,F,Transient,130.13,1
Resort Hotel,0,170,,,27,,0,1,2,0,0,BB,,A,Transient,107.1,2
Resort Hotel,0,170,,,27,,0,1,2,0,0,BB,,A,Transient,119.1,2
Resort Hotel,0,0,,,28,,1,0,2,0,0,BB,,A,Transient,95.64,0
Resort Hotel,0,25,,,28,,1,0,2,0,0,BB,,A,Transient,131,1
Resort Hotel,0,29,,,28,,0,1,2,0,0,BB,,C,Transient,150.92,1
Resort Hotel,0,8,,,28,,0,2,3,1,0,BB,,G,Transient-Party,219,0
Resort Hotel,0,8,,,28,,0,2,2,2,0,BB,,H,Transient-Party,224,0
Resort Hotel,0,61,,,28,,0,2,2,2,0,BB,,C,Transient,190,1
Resort Hotel,0,61,,,28,,0,2,2,0,0,BB,,F,Transient,192,1
Resort Hotel,0,14,,,28,,0,2,2,0,0,BB,,A,Transient,134.43,1
Resort Hotel,0,30,,,28,,0,3,1,0,0,BB,,E,Transient,146.3,1
Resort Hotel,0,0,,,29,,0,1,2,0,0,BB,,D,Transient,161,0
Resort Hotel,0,2,,,29,,0,1,2,0,0,BB,,A,Transient,161,0
Resort Hotel,0,38,,,29,,0,3,2,0,0,BB,,F,Transient,212,1
Resort Hotel,0,0,,,29,,0,1,2,0,0,BB,,A,Transient,151,0
Resort Hotel,0,25,,,29,,0,1,2,0,0,BB,,A,Transient,155.1,0
Resort Hotel,0,22,,,29,,1,3,2,2,0,BB,,C,Transient,186.5,0
Resort Hotel,0,14,,,30,,1,1,2,0,0,BB,,D,Transient,167.21,0
Resort Hotel,0,97,,,30,,0,1,2,0,0,BB,,E,Transient,230,2
Resort Hotel,0,94,,,30,,0,2,2,0,0,BB,,A,Transient,160,1
Resort Hotel,0,130,,,31,,1,2,4,0,0,BB,,A,Transient,208,0
Resort Hotel,0,61,,,31,,0,2,2,0,0,BB,,F,Transient,157.85,1
Resort Hotel,0,92,,,31,,0,4,2,0,0,BB,,D,Transient,213.75,1
Resort Hotel,0,1,,,31,,0,1,2,0,0,BB,,D,Transient,221,1
Resort Hotel,0,38,,,31,,0,2,2,0,0,BB,,D,Transient,194,1
Resort Hotel,0,1,,,31,,0,1,2,0,0,BB,,D,Transient,194,1
Resort Hotel,0,0,,,32,,2,2,2,0,0,BB,,F,Transient,237.75,1
Resort Hotel,0,7,,,31,,0,2,2,0,0,BB,,F,Transient,221.1,0
Resort Hotel,0,0,,,31,,1,5,2,0,0,BB,,A,Transient,180,0
Resort Hotel,0,27,,,31,,2,2,2,2,0,BB,,G,Transient,264,0
Resort Hotel,0,0,,,32,,1,0,2,0,0,BB,,A,Transient,102.49,0
Resort Hotel,0,113,,,31,,2,5,2,0,0,BB,,E,Transient,193.8,2
Resort Hotel,0,113,,,31,,2,5,2,0,0,BB,,E,Transient,181.8,2
Resort Hotel,0,23,,,32,,2,2,3,0,0,BB,,A,Transient,268,3
Resort Hotel,0,151,,,33,,1,2,2,0,0,BB,,G,Transient,204.5,0
Resort Hotel,0,151,,,33,,1,2,2,0,0,BB,,A,Transient,132.9,2
Resort Hotel,0,22,,,33,,0,1,1,0,0,BB,,E,Transient,195.58,1
Resort Hotel,0,37,,,33,,0,3,3,0,0,BB,,A,Transient,187.88,1
Resort Hotel,0,32,,,33,,0,2,1,0,0,BB,,E,Transient,254,1
Resort Hotel,0,12,,,34,,0,2,2,0,0,BB,,A,Transient,221,0
Resort Hotel,0,0,,,35,,0,1,2,0,0,BB,,A,Transient,167.09,0
Resort Hotel,0,217,,,35,,1,2,2,2,0,BB,,C,Transient,174,1
Resort Hotel,0,25,,,35,,0,2,2,2,0,BB,,G,Transient,311,1
Resort Hotel,0,69,,,35,,0,2,2,0,0,BB,,A,Transient,145.53,1
Resort Hotel,0,18,,,35,,0,2,2,0,0,BB,,D,Transient,153.37,1
Resort Hotel,0,15,,,35,,1,1,2,0,0,BB,,D,Transient,171.47,1
Resort Hotel,0,95,,,36,,0,3,2,0,0,BB,,F,Transient,195.67,0
Resort Hotel,0,219,,,36,,1,3,2,0,0,BB,,A,Transient,93,0
Resort Hotel,0,219,,,36,,1,3,2,0,0,BB,,A,Transient,81,0
Resort Hotel,0,219,,,36,,1,3,2,0,0,BB,,A,Transient,64.8,1
Resort Hotel,0,1,,,36,,0,1,2,0,0,BB,,A,Transient,161,1
Resort Hotel,0,1,,,36,,0,1,2,0,0,BB,,D,Transient,154,1
Resort Hotel,0,16,,,36,,0,2,2,0,0,BB,,G,Transient,209.1,1
Resort Hotel,0,1,,,36,,0,1,2,0,0,BB,,D,Transient,164,0
Resort Hotel,0,50,,,36,,1,4,2,0,0,BB,,G,Transient,239,0
Resort Hotel,0,61,,,36,,1,1,2,0,0,BB,,E,Transient,181,1
Resort Hotel,0,237,,,37,,1,0,3,0,0,BB,,E,Transient,157,2
Resort Hotel,0,211,,,36,,1,1,2,0,1,BB,,E,Transient,94.4,2
Resort Hotel,0,228,,,36,,2,2,2,0,0,BB,,E,Transient,111.75,0
Resort Hotel,0,54,,,37,,0,1,2,0,0,BB,,A,Transient,138.6,0
Resort Hotel,0,205,,,37,,0,3,2,1,0,BB,,C,Transient,146.1,0
Resort Hotel,0,71,,,38,,1,1,2,0,0,BB,,H,Transient,167,1
Resort Hotel,0,10,,,38,,0,2,2,0,1,BB,,E,Transient,129,0
Resort Hotel,0,145,,,38,,0,3,2,0,0,BB,,A,Transient,131,1
Resort Hotel,0,55,,,38,,2,1,4,0,0,BB,,H,Transient,205.67,0
Resort Hotel,0,35,,,39,,2,0,1,0,0,BB,,A,Transient,51.94,1
Resort Hotel,0,146,,,40,,0,1,2,0,0,BB,,E,Transient-Party,116.1,0
Resort Hotel,0,146,,,40,,0,1,1,0,0,BB,,E,Transient-Party,116.1,0
Resort Hotel,0,146,,,40,,0,1,2,0,0,BB,,E,Transient-Party,116.1,0
Resort Hotel,0,146,,,40,,0,1,2,0,0,BB,,E,Transient-Party,116.1,0
Resort Hotel,0,146,,,40,,0,1,2,0,0,BB,,E,Transient-Party,116.1,0
Resort Hotel,0,146,,,40,,0,1,2,0,0,BB,,E,Transient-Party,116.1,0
Resort Hotel,0,0,,,40,,0,1,1,0,0,BB,,D,Transient,136,1
Resort Hotel,0,12,,,40,,0,1,2,0,0,BB,,E,Transient,146,0
Resort Hotel,0,12,,,41,,1,0,2,0,0,BB,,G,Transient,198,0
Resort Hotel,0,0,,,41,,0,1,2,0,0,BB,,A,Transient,69.49,2
Resort Hotel,0,0,,,41,,0,1,2,0,0,BB,,D,Transient,105,0
Resort Hotel,0,0,,,41,,1,2,2,0,0,BB,,E,Transient,124,0
Resort Hotel,0,59,,,41,,0,1,2,0,0,BB,,E,Transient,89.1,0
Resort Hotel,0,17,,,41,,0,2,2,2,0,BB,,G,Transient,161,0
Resort Hotel,0,100,,,41,,1,3,2,0,0,BB,,G,Transient,158.1,0
Resort Hotel,0,12,,,42,,1,1,2,0,0,BB,,A,Transient,66,2
Resort Hotel,0,2,,,42,,0,1,1,0,0,BB,,A,Transient,46.96,1
Resort Hotel,0,0,,,42,,0,2,2,0,0,BB,,E,Transient,96,0
Resort Hotel,0,0,,,42,,0,0,2,0,0,BB,,D,Transient,0,0
Resort Hotel,0,68,,,43,,1,0,2,0,0,BB,,A,Transient,54,0
Resort Hotel,0,3,,,42,,2,1,2,0,0,BB,,D,Transient,90,2
Resort Hotel,0,2,,,43,,1,1,2,0,0,BB,,A,Transient,42.65,0
Resort Hotel,0,1,,,43,,0,1,2,0,0,BB,,A,Group,42.65,0
Resort Hotel,0,28,,,43,,0,2,2,0,0,BB,,A,Transient,43.89,1
Resort Hotel,0,28,,,43,,0,2,2,0,0,BB,,A,Transient,43.89,1
Resort Hotel,0,28,,,43,,0,2,2,0,0,BB,,A,Transient,43.89,1
Resort Hotel,0,28,,,43,,0,2,2,0,0,BB,,A,Transient,43.89,1
Resort Hotel,0,28,,,43,,0,2,2,0,0,BB,,A,Transient,43.89,1
Resort Hotel,0,0,,,44,,0,2,2,0,0,BB,,A,Transient,50.18,0
Resort Hotel,0,0,,,45,,0,3,2,0,0,BB,,F,Transient,96,0
Resort Hotel,0,108,,,45,,1,5,2,0,0,BB,,E,Transient,51.47,0
Resort Hotel,0,25,,,46,,0,2,2,0,0,HB,,D,Transient,100,1
Resort Hotel,0,13,,,46,,1,4,2,0,0,BB,,D,Transient,37,0
Resort Hotel,0,51,,,46,,0,2,3,0,0,BB,,H,Transient,93,1
Resort Hotel,0,113,,,47,,2,4,2,0,0,BB,,D,Transient,37.71,1
Resort Hotel,0,54,,,47,,2,3,2,0,0,BB,,A,Transient,29,0
Resort Hotel,0,0,,,49,,0,1,2,0,0,BB,,E,Transient,63,0
Resort Hotel,0,1,,,49,,0,1,2,0,0,BB,,A,Transient,66,0
Resort Hotel,0,155,,,50,,2,5,2,0,0,BB,,E,Transient,61.8,2
Resort Hotel,0,0,,,51,,1,0,2,0,0,BB,,A,Transient,41.11,1
Resort Hotel,0,16,,,51,,0,1,1,0,0,BB,,D,Transient,42,0
Resort Hotel,0,5,,,52,,1,0,2,0,0,BB,,A,Transient,35.11,1
Resort Hotel,0,35,,,52,,1,1,1,0,0,BB,,A,Transient,30,0
Resort Hotel,0,0,,,52,,0,1,2,0,0,BB,,A,Transient,90,0
Resort Hotel,0,36,,,53,,0,1,2,0,0,BB,,F,Transient,75,0
Resort Hotel,0,16,,,53,,0,1,1,0,0,BB,,A,Transient,60,1
Resort Hotel,0,10,,,53,,0,1,2,2,0,BB,,G,Transient,180,0
Resort Hotel,0,1,,,1,,0,2,2,0,0,BB,,E,Transient,64,1
Resort Hotel,0,54,,,53,,2,6,2,2,0,BB,,G,Transient,215.25,0
Resort Hotel,0,0,,,2,,1,0,2,0,0,BB,,A,Transient,34.44,0
Resort Hotel,0,0,,,2,,1,0,2,0,0,BB,,A,Transient,30.99,0
Resort Hotel,0,12,,,2,,0,2,2,0,0,BB,,A,Transient-Party,48,2
Resort Hotel,0,0,,,4,,0,1,1,0,0,BB,,A,Transient,4,0
Resort Hotel,0,1,,,4,,0,3,1,0,0,BB,,A,Transient,31.45,1
Resort Hotel,0,17,,,4,,0,3,2,0,0,BB,,A,Transient,48,1
